sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
873,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 67.140 TO KM 112.340 OF NH-166 (PKG ? II),NHAI,N24001834,,,,5-2023,5/2025,N.A.,839.00,N.A.,478.38,58.80,2025-06,FR_JUNE_2025.pdf
874,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 112.340 TO KM 145.300 OF NH-166 (PKG?III),NHAI,N24001835,,,,5-2023,5/2025,N.A.,986.00,N.A.,580.10,56.40,2025-06,FR_JUNE_2025.pdf
875,REHABILITATION AND UP-GRADATION TO 4 LANE ROAD WITH PAVED SHOULDER CONFIGURATION OF SECTION FROM UND,MoRTH,N24001880,,,,3-2022,7/2025,N.A.,778.18,N.A.,135.78,,2025-06,FR_JUNE_2025.pdf
876,CONSTRUCTION OF NEW FOUR LANE BYPASS TO PARBHANI CITY (PARWA TO ASOLA) KM 463/265 TO KM 481/180 (DES,MoRTH,N24001882,,,,3-2022,10/2024,N.A.,496.64,N.A.,0.00,8.00,2025-06,FR_JUNE_2025.pdf
877,CONSTRUCTION OF 4 LANE FLYOVER AT NAGPUR RTO CHOWK TO NAGPUR UNIVERSITY CAMPUS FROM CH 2/250 TO 5/10,MoRTH,N24001883,,,,3-2021,3/2024,N.A.,478.83,N.A.,233.48,65.00,2025-06,FR_JUNE_2025.pdf
878,REHABILITATION AND UPGRADATION OF SATANA TO MANGRUL (CHANDWAD) SECTION OF NH752 G DESIGN CH: KM 64.0,MoRTH,N24001884,,,,3-2023,5/2025,N.A.,428.80,N.A.,54.11,30.69,2025-06,FR_JUNE_2025.pdf
879,REHABILITATION AND UP-GRADATION OF JINTUR- SHIRAD SHAHAPUR SECTION KM 258.300 TO KM 306.300 [DESIGN,MoRTH,N24001885,,,,2-2023,12/2024,N.A.,414.81,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
880,DEVELOPMENT/WIDENING OF TALEGAON ? CHAKAN ? SHIKRAPUR ? NHAVARA SECTION OF NH 548DG (NHAVARA TO CHOU,MoRTH,N24001886,,,,10-2022,8/2024,N.A.,304.68,N.A.,97.09,59.00,2025-06,FR_JUNE_2025.pdf
881,REHABILITATION AND UPGRADATION OF PARLI TO SIRSALA SECTION OF NH- 361F (KM 136+700 TO 115+000) (LENGT,MoRTH,N24001890,,,,2-2023,12/2024,N.A.,261.82,N.A.,70.59,46.00,2025-06,FR_JUNE_2025.pdf
882,BALANCE WORK OF REHABILITATION AND UP-GRADATION TO NH-166F FROM MAHAD JUNCTION (AT KM 123/400 ON NH-,MoRTH,N24001891,,,,7-2021,11/2023,N.A.,256.54,N.A.,80.10,60.00,2025-06,FR_JUNE_2025.pdf
883,REHABILITATION AND UPGRADATION OF SHIRAPUR JUNCTION TO SHIVAJI CHOWK (DESIGN CHAINAGE KM. 130+00 TO,MoRTH,N24001892,,,,2-2023,12/2024,N.A.,245.61,N.A.,43.39,33.00,2025-06,FR_JUNE_2025.pdf
884,UPGRADATIOBN AND REHABILITATION OF SECTION OF NH 361 F FROM PARLI (00/000) TO GANGAKHED (30/400) TO,MoRTH,N24001896,,,,11-2021,9/2023,N.A.,224.44,N.A.,75.34,45.63,2025-06,FR_JUNE_2025.pdf
885,REHABILITATION AND UP-GRADATION OF SABALKHED TO ASHTI SECTION FROM KM 37+900 TO KM 55+100 AND CHINCH,MoRTH,N24001902,,,,12-2022,9/2024,N.A.,213.32,N.A.,20.00,34.00,2025-06,FR_JUNE_2025.pdf
886,REHABILITATION AND UP-GRADATION OF MUDKHED TO NANDED SECTION FROM KM. 372+000 TO KM 388+400 OF NH 16,MoRTH,N24001903,,,,8-2022,4/2025,N.A.,206.54,N.A.,21.36,10.00,2025-06,FR_JUNE_2025.pdf
887,KOPARGAON TO SAVALI VIHIR SECTION,MoRTH,N24001904,,,,9-2022,7/2024,N.A.,195.38,N.A.,29.59,19.76,2025-06,FR_JUNE_2025.pdf
888,UP-GRADATION TO 4 LANING OF DAULTABAD T-POINT TO MALIWADA [FROM DESIGN KM.0.000 TO KM 4.000] AND UPG,MoRTH,N24001906,,,,8-2022,3/2024,N.A.,185.59,N.A.,63.56,48.00,2025-06,FR_JUNE_2025.pdf
889,"CONSTRUCTION OF SIX LANE FLYOVER AT KATRAJ JUNCTION AT KM, 3/880 OF NH 548-DD (VADGAON - KATRAJ - KO",MoRTH,N24001907,,,,6-2021,2/2024,N.A.,169.15,N.A.,36.94,35.96,2025-06,FR_JUNE_2025.pdf
890,UPGRADATION OF EXHISTING 2 LANE FLEXIBLE PAVEMENT TO 2 LANE PAVED SHOULDERS RIGID PAVEMENT FROM DESI,MoRTH,N24001908,,,,12-2021,5/2024,N.A.,167.97,N.A.,35.28,36.76,2025-06,FR_JUNE_2025.pdf
891,REHABILITATION AND UPGRADATION OF JAMKHED TO SAUTADA SECTION OF NH548 D (FROM KM 195.375 TO KM 208.7,MoRTH,N24001910,,,,9-2022,7/2024,N.A.,157.62,N.A.,13.86,17.03,2025-06,FR_JUNE_2025.pdf
892,PANGAON TO DHARMAPURI AND PARALI TO INJEGAON 2L+PS,MoRTH,N24001911,,,,3-2018,7/2024,N.A.,152.03,N.A.,81.35,97.57,2025-06,FR_JUNE_2025.pdf
893,4L OF INDORA CHOWK TO PACHPAOLI AND AGRASEN CHOWK - ASHOKA CHOWK,NHAI,N24002071,,,,3-2023,6/2026,N.A.,998.27,N.A.,348.48,48.34,2025-06,FR_JUNE_2025.pdf
894,IMPROVEMENT OF EXISTING ALIGNMENT OF PANDHARPUR TOWN PART BYPASSED SECTION FROM WAKHARI TO LORD VITT,NHAI,N24002072,,,,7-2022,10/2025,N.A.,150.21,150.21,33.70,6.00,2025-06,FR_JUNE_2025.pdf
895,REHABILITATION/UPGRADATION OF EXISTING HIGHWAY TO 2L+PS/4 LANE OF DHAWALI TO RAJOLI FROM DESIGN KM.1,MoRTH,N24002169,,,,3-2022,9/2025,N.A.,316.44,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
896,REHABILITATION/ UPGRADATION OF EXISTING HIGHWAY TO FOUR LANE STANDARDS IN KURKHEDA TOWN FROM (KM.413,MoRTH,N24002170,,,,3-2022,5/2025,N.A.,163.86,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
897,REHABILITATION AND UP-GRADATION FOR TALERE A?? GAGANBAWDAA?? KOLHAPUR ROAD (NH-166G) STRETCHES START,MoRTH,N24002171,,,,2-2023,4/2025,N.A.,249.13,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
898,"UP-GRADATION TO 4 LANE CONFIGURATION FOR THE WORK OF PETH NAKA TO SANGLI ROAD, NH- 166H, FROM KM 0+00",MoRTH,N24002172,,,,2-2023,12/2025,N.A.,856.82,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
899,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED SHOULDER CONFIGURATION OF MAHUD SANGOLA ROAD NH,MoRTH,N24002173,,,,2-2023,4/2025,N.A.,253.78,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
