sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
541,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 12.850 TO KM20.300 OF 7.450KM LENGTH ON GOHA-KHEL,NHIDCL,N24001264,,,,7-2020,4/2022,Oct-2024,228.39,N.A.,69.32,88.09,2025-06,FR_JUNE_2025.pdf
542,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 20.300 TO KM 29.030 OF 8.730 KM LENGTH ON GOHA-K,NHIDCL,N24001266,,,,7-2020,4/2022,Nov-2023,210.79,N.A.,72.72,93.63,2025-06,FR_JUNE_2025.pdf
543,KHELLANI-KHANABAL PKG-1,NHIDCL,N24001323,,,,3-2021,9/2022,Oct-2024,486.45,N.A.,126.73,96.84,2025-06,FR_JUNE_2025.pdf
544,KHELLANI-KHANABAL PKG-3,NHIDCL,N24001341,,,,3-2021,12/2022,Oct-2024,398.51,N.A.,80.64,98.36,2025-06,FR_JUNE_2025.pdf
545,KHELLANI-KHANABAL PKG-2,NHIDCL,N24001394,,,,7-2021,2/2023,Jun-2025,512.43,N.A.,71.65,51.75,2025-06,FR_JUNE_2025.pdf
546,KHELLANI-KHANABAL PKG-4,NHIDCL,N24001395,,,,7-2021,8/2023,Dec-2025,859.67,N.A.,196.00,44.02,2025-06,FR_JUNE_2025.pdf
547,KHELLANI-KHANABAL PKG-5,NHIDCL,N24001396,,,,7-2021,2/2023,Mar-2025,497.09,N.A.,178.73,90.01,2025-06,FR_JUNE_2025.pdf
548,GOHA-KHELLANI PKG-3,NHIDCL,N24001397,,,,2-2021,3/2023,Feb-2025,431.28,433.08,372.31,100.00,2025-06,FR_JUNE_2025.pdf
549,RAJRAPPA RCE OCP ( 3.0 MTY),CCL,N06000087,,,,12-2009,3/2016,N.A.,510.85,N.A.,488.57,75.00,2025-06,FR_JUNE_2025.pdf
550,MURAIDIH UG TURN-KEY PROJECT,BCCL,N06000096,,,,2-2011,4/2014,N.A.,339.88,N.A.,190.48,70.00,2025-06,FR_JUNE_2025.pdf
551,MOONIDIH XV SEAM UG,BCCL,N06000098,,,,8-2011,3/2019,N.A.,1230.27,N.A.,620.97,81.00,2025-06,FR_JUNE_2025.pdf
552,CHITRA EAST (RCE) OCP,ECL,N06000169,,,,8-2018,3/2026,Mar-2026,513.98,N.A.,228.35,51.00,2025-06,FR_JUNE_2025.pdf
553,TETARIAKHAR EXPANSION OCP,CCL,N06000186,,,,11-2019,3/2023,N.A.,243.52,N.A.,44.64,26.00,2025-06,FR_JUNE_2025.pdf
554,PACHWARA SOUTH COAL BLOCK,NLC,N06000193,,,,7-2013,9/2028,N.A.,2242.92,2242.90,1151.23,54.00,2025-06,FR_JUNE_2025.pdf
555,PATHERDIH 2.5 NLW COAL WASHERY,BCCL,N06000194,,,,10-2015,4/2018,N.A.,334.27,N.A.,135.86,47.00,2025-06,FR_JUNE_2025.pdf
556,REVISED PROJECT REPORT MAGADH EXPANSION OCP,CCL,N06000216,,,,8-2020,3/2028,N.A.,7254.37,N.A.,1527.57,38.00,2025-06,FR_JUNE_2025.pdf
557,EXPANSION PROJECT AMRAPALI OCP,CCL,N06000217,,,,8-2020,3/2028,N.A.,5136.15,N.A.,1092.17,43.00,2025-06,FR_JUNE_2025.pdf
558,UCE OF EPR OF NORTH URIMARI OCP,CCL,N06000218,,,,7-2021,3/2029,N.A.,778.80,N.A.,694.11,75.00,2025-06,FR_JUNE_2025.pdf
559,KOTRE BASANTPUR PACHMO OCP,CCL,N06000237,,,,8-2020,3/2032,N.A.,625.40,625.40,441.24,41.00,2025-06,FR_JUNE_2025.pdf
560,CHANDRAGUPT OCP,CCL,N06000238,,,,8-2020,3/2032,N.A.,973.50,N.A.,440.56,12.40,2025-06,FR_JUNE_2025.pdf
561,SIRKA OCP,CCL,N06000239,,,,5-2020,3/2028,N.A.,222.82,N.A.,139.31,51.00,2025-06,FR_JUNE_2025.pdf
562,JHARKHAND LAIYO OCP,CCL,N06000240,,,,8-2020,3/2031,N.A.,764.57,N.A.,145.80,28.00,2025-06,FR_JUNE_2025.pdf
563,EPR TAPIN SOUTH OCP,CCL,N06000241,,,,11-2020,3/2028,N.A.,230.41,N.A.,21.12,18.30,2025-06,FR_JUNE_2025.pdf
564,EPR PUNDI OCP,CCL,N06000242,,,,11-2020,3/2027,N.A.,713.35,N.A.,236.57,21.00,2025-06,FR_JUNE_2025.pdf
565,EPR ROHINI KARKATA OCP,CCL,N06000243,,,,1-2021,3/2028,N.A.,1020.42,N.A.,83.44,18.00,2025-06,FR_JUNE_2025.pdf
566,EXPANSION OF KONAR OCP,CCL,N06000245,,,,1-2022,3/2032,N.A.,799.34,N.A.,416.73,32.00,2025-06,FR_JUNE_2025.pdf
567,EXPANSION OF KARO OCP,CCL,N06000246,,,,1-2022,3/2029,N.A.,908.47,N.A.,217.68,21.00,2025-06,FR_JUNE_2025.pdf
568,EXPANSION OF ASHOK OCP,CCL,N06000247,,,,5-2021,3/2028,N.A.,2898.28,N.A.,176.50,20.00,2025-06,FR_JUNE_2025.pdf
569,AMALGAMATED NTST KUJAMA OCP 8.5 MTY,BCCL,N06000273,,,,1-2023,3/2030,N.A.,4011.85,N.A.,398.49,25.10,2025-06,FR_JUNE_2025.pdf
570,HURA C OC,ECL,N06000275,,,,8-2022,3/2029,N.A.,859.41,N.A.,448.72,62.00,2025-06,FR_JUNE_2025.pdf
571,CHUPERBHITA- SIMLONG OCP,ECL,N06000280,,,,12-2023,3/2037,Mar-2037,979.08,N.A.,0.00,0.01,2025-06,FR_JUNE_2025.pdf
572,BLOCK-E OCP (15 MTY),BCCL,N06000287,,,,3-2024,3/2029,N.A.,5850.83,N.A.,5.96,2.00,2025-06,FR_JUNE_2025.pdf
573,JARANGDIH OCP,CCL,N06000295,,,,2-2020,3/2029,N.A.,414.37,N.A.,85.60,,2025-06,FR_JUNE_2025.pdf
574,2000 BOYS HOSTEL(1000 DOUBLE BEDDED ROOM) AT ISM DHANBAD,CPWD EDUCATION,N28000067,,,,9-2012,3/2016,N.A.,171.86,N.A.,174.48,99.00,2025-06,FR_JUNE_2025.pdf
575,DEVELOPMENT OF JHARIA CBM BLOCK (PHASE-1),ONGC,N16000445,,,,11-2019,1/2024,Mar-2025,431.00,N.A.,204.31,58.00,2025-06,FR_JUNE_2025.pdf
576,LAYING OF NATURAL GAS PIPELINE FROM HAZARIBAGH TO RANCHI,IOCL,N16000480,,,,3-2023,2/2026,N.A.,202.07,N.A.,52.94,42.95,2025-06,FR_JUNE_2025.pdf
577,CGD PROJECT IN BIHAR JHARKHAND,HPCL,N16000497,,,,6-2022,6/2030,N.A.,1377.00,N.A.,282.88,24.15,2025-06,FR_JUNE_2025.pdf
578,NORTH KARANPURA STPP (3X660 MW),NTPC,N18000177,,,,2-2014,6/2019,Oct-2022,16242.90,N.A.,17323.08,98.00,2025-06,FR_JUNE_2025.pdf
579,PATRATU STPP-I (3X800MW),NTPC,N18000275,,,,11-2017,3/2023,N.A.,17112.00,N.A.,17219.35,81.00,2025-06,FR_JUNE_2025.pdf
580,BADAM COAL MINING PROJECT,NTPC,N18000367,,,,2-2019,10/2024,Apr-2027,501.79,784.39,368.94,59.79,2025-06,FR_JUNE_2025.pdf
581,KERANDARI COAL MINING PROJECT,NTPC,N18000370,,,,9-2015,11/2019,Mar-2025,1553.00,2896.64,2095.17,64.00,2025-06,FR_JUNE_2025.pdf
582,"KODERMA-TILAIYA (NL), ECR",ECR,220100305,,,,4-2002,3/2023,N.A.,1625.87,1625.87,2039.52,80.00,2025-06,FR_JUNE_2025.pdf
583,BONDAMUNDA RANCHI DOUBLING,SER,N22000396,,,,3-2016,6/2024,N.A.,3029.04,3029.04,2436.91,84.50,2025-06,FR_JUNE_2025.pdf
584,LODHMA TO PISKA LINK LINE BY PASSING HATIA/RANCHI WITH Y CONNECTION (17.2 KM),SER,N22000508,,,,4-2018,6/2026,N.A.,501.52,N.A.,275.97,4.00,2025-06,FR_JUNE_2025.pdf
585,DOUBLING OF PRADHANKHUNTA JN - PATHERDIH BAZAR-BHOJUDIH,ECR,N22000529,,,,11-2022,11/2027,N.A.,202.00,349.22,76.94,2.00,2025-06,FR_JUNE_2025.pdf
586,KHARAGPUR-ADITYAPUR - 3RD LINE (132 KM),RVNL,N22000595,,,,12-2015,3/2025,N.A.,3249.98,N.A.,2899.45,,2025-06,FR_JUNE_2025.pdf
587,3RD LINE BETWEEN DHANBAD SONNAGAR,RVNL,N22000599,,,,11-2016,3/2026,N.A.,8975.00,N.A.,4705.38,,2025-06,FR_JUNE_2025.pdf
588,GARHWA ROAD - RAIL OVER RAIL,ECR,N22000610,,,,3-2017,6/2024,N.A.,262.71,N.A.,227.86,70.00,2025-06,FR_JUNE_2025.pdf
589,GOMOH - FLYOVER FOR DOWN TRAINS,ECR,N22000611,,,,1-2018,3/2023,N.A.,686.03,N.A.,419.46,45.00,2025-06,FR_JUNE_2025.pdf
590,HARIHARGANJ TO PARWA MODE SECTION FROM KM 23.284 TO KM 57.049 OF NH-98,NHAI,N24001589,,,,9-2020,3/2024,Dec-2024,755.26,N.A.,635.78,88.10,2025-06,FR_JUNE_2025.pdf
591,4L FROM KM 196.87 (SANKHA) TO KM 219.6 (KHAJURI) ON NH-75 [REHLA / GARHWA BYPASS],NHAI,N24001590,,,,9-2020,10/2023,Dec-2024,748.99,N.A.,831.75,100.00,2025-06,FR_JUNE_2025.pdf
592,ELEVATED CORRIDOR IN RANCHI CITY FROM KM 0.00 TO KM 3.260 OF NH-75 INCLUDING DOWN RAMP ON NH-23 FROM,NHAI,N24001594,,,,2-2022,1/2025,Mar-2025,534.73,N.A.,282.33,99.57,2025-06,FR_JUNE_2025.pdf
593,4L OF PALMA TO GUMLA SECTION OF NH23 FROM KM. 26.00 TO KM. 89.170 ON HAM MODE IN THE STATE OF JHARKH,NHAI,N24001595,,,,8-2020,3/2024,Sep-2025,1034.00,1879.55,41.50,97.30,2025-06,FR_JUNE_2025.pdf
594,4L OF MIRZA CHAUKI TO FARKKA SECTION OF NH80 FROM KM 215.00 TO KM 260.00 ON HAM MODE IN THE STATE OF,NHAI,N24001596,,,,11-2021,7/2023,Jun-2025,1302.72,1504.80,957.00,75.74,2025-06,FR_JUNE_2025.pdf
595,FOUR LANING WITH PAVED SHOULDER OF SECTION FROM KM 53.600 (GOLA ON NH-320) TO KM 81.446 (ORMANJHI ON,NHAI,N24001854,,,,6-2023,6/2025,N.A.,1214.93,1324.95,808.69,75.50,2025-06,FR_JUNE_2025.pdf
596,WIDENING TO 2-LANE WITH PAVED SHOULDER FROM KM 0.00 TO 44.00 (KURU-GHAGHRA SECTION) OF NH- 143A INCLU,MoRTH,N24001922,,,,2-2020,8/2023,N.A.,153.01,N.A.,83.63,96.23,2025-06,FR_JUNE_2025.pdf
597,WIDENING AND STRENGTHENING OF EXISTING PAVEEMNT TO TWO LANE WITH PAVED SHOULDERS FROM KM 116.00 TO K,MoRTH,N24001923,,,,1-2022,7/2024,N.A.,315.21,N.A.,117.26,80.00,2025-06,FR_JUNE_2025.pdf
598,WIDENING AND STRENGTHENING TO TWO LANE WITH PAVED SHOULDER/TWO LANE+ PAVED SHOULDER WITH SERVICE ROA,MoRTH,N24001924,,,,3-2022,8/2025,N.A.,514.22,N.A.,15.19,6.10,2025-06,FR_JUNE_2025.pdf
599,WIDENING AND STRENGTHENING/RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDER/ TWO LANE WITH PAVED SHOUL,MoRTH,N24001925,,,,3-2022,8/2025,N.A.,423.18,N.A.,0.11,,2025-06,FR_JUNE_2025.pdf
600,FOUR LANING OF KHAJURI TO WYNDHAMGANJ FROM KM 219.600 TO KM 260.483 ON NH-75 PKG SEC-V ON HAM,NHAI,N24002053,,,,4-2022,9/2025,N.A.,1232.00,1343.00,606.60,81.76,2025-06,FR_JUNE_2025.pdf
601,FOUR LANING OF BHOGU TO SANKHA FROM KM 147.450 TO KM 196.870 ON NH-75 PKG SEC-III,NHAI,N24002054,,,,10-2022,11/2025,N.A.,1390.77,1391.00,319.69,75.01,2025-06,FR_JUNE_2025.pdf
602,FOUR LANING OF BASUKINATH- DEOGHAR SECTION OF NH-114A FROM KM 85.081 TO KM 130.240 UNDER NHDP PHASE-I,NHAI,N24002055,,,,3-2023,12/2025,N.A.,1444.94,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
603,BHARATMALA PARIYOJANA OF BOKARO JAINA MORE - GOLA SECTION OF NH-320 FROM KM. 21.110 TO KM. 53.600 IN,NHAI,N24002056,,,,6-2020,6/2025,N.A.,964.64,N.A.,458.58,61.20,2025-06,FR_JUNE_2025.pdf
604,FOUR LANING OF MEHGAMA HANSDIHA SECTION OF NH-33 FROM EXISTING KM 41.900 TO 93.000 IN THE STATE OF J,NHAI,N24002057,,,,12-2022,5/2025,N.A.,1443.77,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
605,SIX LANING OF BIHAR - JHARKHAND BORDER (CHORDAHA) TO GORHAR SECTION,NHAI,N24000726,,,,1-2018,11/2021,May-2026,1155.16,N.A.,657.82,73.00,2025-06,FR_JUNE_2025.pdf
606,WIDENING TO 2 LANE WITH PAVED SHOULDERS AND GEOMETRIC IMPROVEMENT OF NH-114A FROM KM 141 TO KM 184 I,MoRTH,N24001216,,,,12-2016,9/2021,N.A.,196.00,N.A.,164.21,90.10,2025-06,FR_JUNE_2025.pdf
607,NEW SINTER PLANT AT BOKARO STEEL PLANT,SAIL,N12000095,,,,3-2015,10/2017,Nov-2026,1034.01,1752.30,882.41,51.75,2025-06,FR_JUNE_2025.pdf
608,REVAMPING OF OLD SUB SYSTEM OF BLAST FURNACE 3 AT BOKARO STEEL PLANT,SAIL,N12000129,,,,9-2023,7/2025,Nov-2025,513.82,N.A.,195.71,67.00,2025-06,FR_JUNE_2025.pdf
609,REBUILDING OF COKE OVEN BATTERY NO.6 OF BOKARO STEEL PLANT,SAIL,N12000133,,,,11-2023,11/2026,N.A.,627.31,N.A.,84.56,35.00,2025-06,FR_JUNE_2025.pdf
610,REPLACEMENT OF REMAINING 04 NOS. OF BATTERY CYCLONES WITH 04 NOS. OF ESPS IN SINTER PLANT-1 AT BSL,SAIL,N12000135,,,,3-2024,6/2026,N.A.,260.37,N.A.,44.22,18.00,2025-06,FR_JUNE_2025.pdf
611,REPLACEMENT OF EXISTING GRINDERS IN CRM-I & II AT BOKARO STEEL PLANT,SAIL,N12000142,,,,1-2025,1/2027,N.A.,211.94,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
612,SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II AT BOKARO STEEL PLANT,SAIL,N12000143,,,,1-2025,10/2026,N.A.,207.13,N.A.,0.00,5.00,2025-06,FR_JUNE_2025.pdf
613,BELAGAVI AIRPORT- EXPANSION OF TERMINAL BUILDING AND ASSOCIATED WORKS,AAI,N04000105,,,,6-2023,2/2026,N.A.,322.45,N.A.,104.38,43.00,2025-06,FR_JUNE_2025.pdf
614,HUBBALI AIRPORT - CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS,AAI,N04000108,,,,6-2023,2/2026,N.A.,320.47,N.A.,53.87,32.50,2025-06,FR_JUNE_2025.pdf
615,"CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY, DHARWAD (PHASE 1A)",CPWD EDUCATION,N42000006,,,,7-2019,3/2022,N.A.,851.00,851.00,918.06,,2025-06,FR_JUNE_2025.pdf
616,ADDITIONAL INFRASTRUCTURE AT IISC BANGALORE SH RCC MONOLITHIC FOR MEN WOMEN HOSTEL,CPWD,N42000010,,,,8-2021,2/2024,Nov-2024,316.25,N.A.,281.32,91.00,2025-06,FR_JUNE_2025.pdf
617,CONSTRUCTION OF 80000MT LPG CAVERN AT MANGALORE,HPCL,N16000369,,,,12-2018,12/2022,Aug-2025,854.00,854.00,717.44,99.70,2025-06,FR_JUNE_2025.pdf
618,"REVAMPING, AUGMENTATION OF FACILITIES AT EXISTING PORT TERMINAL AT MANGALORE",IOCL,N16000437,,,,1-2022,7/2025,Dec-2025,463.00,500.62,244.46,71.10,2025-06,FR_JUNE_2025.pdf
619,POWER SYSTEM UPGRADATION PROJECT,MANGALORE REFIN,N16000509,,,,10-2023,2/2026,N.A.,385.00,N.A.,129.72,59.70,2025-06,FR_JUNE_2025.pdf
620,DEMO PLANT FOR PRODUCTION OF BIO-ATF,MANGALORE REFIN,N16000536,,,,3-2024,3/2027,N.A.,364.00,N.A.,22.78,10.10,2025-06,FR_JUNE_2025.pdf
621,TS FOR INTRGRATION OF RE ZONE (PHASE II) IN KOPPAL II (PHASE A and B) AND GADAG II (PHASE A) IN KARN,PGCIL,N18000385,,,,12-2023,12/2025,N.A.,2889.00,N.A.,1011.29,36.70,2025-06,FR_JUNE_2025.pdf
622,"TS FOR SOLAR ENERGY ZONE IN BIDAR (2500MW), KARNATAKA [BIDAR TRANSMISSION LTD]",PGCIL,N18000388,,,,2-2024,2/2026,N.A.,2148.00,N.A.,923.47,52.20,2025-06,FR_JUNE_2025.pdf
623,SYSTEM STRENGTHENING AT KOPPAL- II AND GADAG-II FOR INTEGRATION OF RE GENERATION PROJECTS,PGCIL,N18000409,,,,1-2025,1/2027,N.A.,1354.00,N.A.,16.25,,2025-06,FR_JUNE_2025.pdf
624,AUGMENTATION OF TRANSFORMATION CAPACITY AT BIDAR PS,PGCIL,N18000410,,,,2-2025,2/2027,N.A.,288.00,N.A.,4.03,,2025-06,FR_JUNE_2025.pdf
625,TRANSMISSION SCHEME FOR INTEGRATION OF DAVANAGERE / CHITRADURGA AND BELLARY REZ IN KARNATAKA,PGCIL,N18000419,,,,3-2025,3/2027,N.A.,3453.00,N.A.,20.70,,2025-06,FR_JUNE_2025.pdf
626,TUMKUR-CHITRADURGA-DAVENGERE NL,SWR,N22000256,,,,4-2011,3/2019,N.A.,1876.00,N.A.,503.99,12.00,2025-06,FR_JUNE_2025.pdf
627,BAGALKOT-KUDACHI NL,SWR,N22000258,,,,4-2010,3/2027,N.A.,1378.00,1378.00,646.95,34.00,2025-06,FR_JUNE_2025.pdf
628,HOSPET-HUBLI-LONDA- VASCODAGAMA DL,RVNL,N22000297,,,,4-2010,3/2027,N.A.,5060.36,N.A.,3505.49,,2025-06,FR_JUNE_2025.pdf
629,GADAG-WADI NL,SWR,N22000299,,,,4-2013,3/2027,N.A.,2841.84,N.A.,1352.94,29.00,2025-06,FR_JUNE_2025.pdf
630,MARIKUPPAM - KUPPAM,SWR,N22000308,,,,4-2012,3/2016,N.A.,279.54,296.72,121.12,14.00,2025-06,FR_JUNE_2025.pdf
631,KADUR CHIKMAGALUR SAKLESHPUR NEW LINE (93 KM),SWR,N22000486,,,,3-1996,6/2025,N.A.,825.31,825.31,692.24,83.00,2025-06,FR_JUNE_2025.pdf
632,BAIYYAPPANAHALLI-HOSUR (48 KM),NCRTC,N22000542,,,,4-2019,3/2026,N.A.,375.67,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
633,YESHVANTHPUR-CHANNASANDRA (21.7 KM),NCRTC,N22000543,,,,4-2019,3/2026,N.A.,169.65,N.A.,71.75,,2025-06,FR_JUNE_2025.pdf
634,BELGAUM-DHARWAD VIA KITTUR (73.10 KM) (UMBRELLA WORK PB#22/2019-20/NR),SWR,N22000557,,,,9-2020,12/2027,N.A.,1590.80,927.42,0.75,,2025-06,FR_JUNE_2025.pdf
635,HASSAN (ALUR) - BELUR (32 KM) (UMBRELLA WORK PB#23/2018-19/NR),SWR,N22000558,,,,6-2019,4/2028,N.A.,748.86,748.85,0.88,1.00,2025-06,FR_JUNE_2025.pdf
636,SHIMOGA-SHIKARIPURA-RANEBENNUR (UMBRELLA WORK PB#23/2018-19/NR),SWR,N22000559,,,,9-2019,12/2027,N.A.,1453.73,994.47,87.33,7.00,2025-06,FR_JUNE_2025.pdf
637,BANGALORE-WHITEFIELD-BANGALORE CITY-KRISHNARAJAPURAM QUADRUPLING,SWR,N22000621,,,,3-2018,6/2025,N.A.,492.87,492.87,254.35,75.00,2025-06,FR_JUNE_2025.pdf
638,4L OF ADDAHOLE TO BANTWAL CROSS SECTION INCLUDING FLYOVER AT KALLADKA TOWN,NHAI,N24001425,,,,3-2021,11/2021,Nov-2025,1100.88,1687.31,1156.26,80.30,2025-06,FR_JUNE_2025.pdf
639,4L OF ADDAHOLE TO BANTWAL CROSS SECTION,NHAI,N24001426,,,,3-2021,10/2021,Jul-2025,317.90,572.01,370.84,98.00,2025-06,FR_JUNE_2025.pdf
640,6L FROM SANKESHWAR BYPASS TO MH KNT BORDER FROM KM. 555.017 TO KM. 592.853 OF NH-48 (PKG II),NHAI,N24001598,,,,1-2022,4/2025,May-2026,1388.70,1388.70,509.84,71.60,2025-06,FR_JUNE_2025.pdf
641,BELAKERI PORT TO KUMTA - SIRSI ROAD FROM KM 0.00 - KM 4.265 OF BELEKERI PORT ROAD LINK RD. AND KM 4.,NHAI,N24001599,,,,3-2018,12/2022,Dec-2022,440.16,N.A.,355.97,75.27,2025-06,FR_JUNE_2025.pdf
642,BANGALORE/TN BORDER TO HOSKOTE,NHAI,N24001674,,,,2-2023,2/2025,Sep-2025,1240.60,1181.68,952.87,83.25,2025-06,FR_JUNE_2025.pdf
643,6L OF MH/KN BORDER (NIMBAL VILLAGE) TO KN/TS BORDER (SINGNODI VILLAGE) FROM KM. 26.000 TO KM. 97.000,NHAI,N24001676,,,,12-2022,6/2025,Mar-2026,2718.46,N.A.,438.90,54.52,2025-06,FR_JUNE_2025.pdf
644,BALANCE WORK OF 2L PS FROM KM 30.800 TO 70.800 AND 2L WITH RIGID CARRIAGEWAY FROM 70.800 TO KM 84.12,NHAI,N24001677,,,,11-2022,5/2024,Apr-2025,226.76,226.76,86.76,71.95,2025-06,FR_JUNE_2025.pdf
645,6L FROM BELGAUM TO SANKESHWAR BYPASS FROM KM 515.000 TO KM 555.017 OF NH 48,NHAI,N24001679,,,,10-2022,4/2025,Dec-2025,1479.30,1479.30,676.61,83.98,2025-06,FR_JUNE_2025.pdf
646,4L OF SANNUR TO BIKARNAKATTE SECTION FROM KARKALA TO MANGALORE,NHAI,N24001680,,,,3-2021,10/2024,Jun-2026,1409.68,1808.12,1039.17,59.00,2025-06,FR_JUNE_2025.pdf
647,TUMKUR - NELAMANGALA(6L),NHAI,N24001681,,,,8-2022,8/2025,Mar-2026,2032.15,2032.15,185.64,52.88,2025-06,FR_JUNE_2025.pdf
648,UPGRADATION 2/4 LANE NH CONNECTIVITY UNDER SAGARMALA SCHEME SH 2 HAVERI YEKAMBI SH 69 YEKAMBI KUMTA,NHAI,N24001682,,,,11-2021,3/2024,Mar-2024,294.62,309.90,57.86,15.14,2025-06,FR_JUNE_2025.pdf
649,4L OF CHANNARAYAPATNA BYPASS AND HASSAN BYPASS WITH STRUCTURES IN DEVIHALLI -HASSAN SECTION,NHAI,N24001684,,,,9-2020,1/2023,Sep-2020,688.00,602.09,514.23,80.07,2025-06,FR_JUNE_2025.pdf
650,FOUR LANING OF BETTADAHALLI TO SRIRAMPURA SECTION FROM KM. 166+100 (DESIGN KM. 170+415) TO KM. 217+0,NHAI,N24001687,,,,10-2021,10/2023,Dec-2025,1331.77,2082.98,483.94,77.06,2025-06,FR_JUNE_2025.pdf
651,BALANCE WORK OF CONTSRUCTION OF TWO/FOUR LANE WITH PAVED SHOULDER FROM KM. 54.370 TO KM. 101.400 (BI,MoRTH,N24001936,,,,3-2021,3/2023,Jul-2024,344.79,N.A.,10.00,90.00,2025-06,FR_JUNE_2025.pdf
652,BALANCE WORK OF REHABILITATION AND UPGRADING TO 2LANE/2LANE WITH PAVED SHOULDER CONFIGURATION AND ST,MoRTH,N24001937,,,,2-2023,2/2024,Feb-2025,398.48,N.A.,5.00,50.00,2025-06,FR_JUNE_2025.pdf
653,"CONSTRUCTION OF ELEVATED CORRIDOR FROM KM. 135.650 TO 136.300 ON 63, FROM KM. 249 TO KM. 250.050 ON",MoRTH,N24001938,,,,6-2021,6/2024,Jun-2025,298.00,N.A.,10.70,52.00,2025-06,FR_JUNE_2025.pdf
654,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM DESIGN KM 103.200 (EXISTING KM 103.200) TO DESIGN KM 11,MoRTH,N24001940,,,,1-2023,1/2026,Sep-2025,166.58,N.A.,3.54,,2025-06,FR_JUNE_2025.pdf
655,WIDENING TO 4 LANE FROM KM. 133.00 TO 158.04 (DESIGN CHAINAGE KM. 130.88 TO 155.145) (SHIRUR CROSS T,MoRTH,N24001941,,,,1-2023,1/2025,Jan-2025,350.69,N.A.,10.00,56.00,2025-06,FR_JUNE_2025.pdf
656,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM. 33.13 TO KM. 40.23 AND KM. 52.00 TO KM. 71.00 (EX,MoRTH,N24001943,,,,9-2022,3/2024,Jan-2025,172.98,N.A.,6.48,65.00,2025-06,FR_JUNE_2025.pdf
657,WIDENING TO INTERMEDIATE/TWO LANE TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHANAGES KM 112.750 TO,MoRTH,N24001944,,,,1-2023,6/2024,Jul-2024,255.88,N.A.,60.99,78.24,2025-06,FR_JUNE_2025.pdf
658,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM KM 116.800 TO 149.070(DESIGN CHANGES) ON HOSADURGA HOL,MoRTH,N24001945,,,,8-2022,2/2024,Dec-2024,170.34,N.A.,4.25,72.00,2025-06,FR_JUNE_2025.pdf
659,"WIDENING TO 2 LANES WITH PAVED SHOULDERS FROM KM 24.400 TO 27.270, 40.500 TO 41.900, 84.300 TO 88.20",MoRTH,N24001946,,,,11-2022,11/2024,Nov-2024,218.93,N.A.,10.00,95.25,2025-06,FR_JUNE_2025.pdf
660,WIDENING TO EXISTING 2 LANE WITH PAVED SHOULDER TO 4 LANE WITH PAVED SHOULDER FROM DESIGN KM 153.00,MoRTH,N24001947,,,,2-2023,2/2025,Feb-2025,177.94,N.A.,6.66,47.00,2025-06,FR_JUNE_2025.pdf
661,WIDENING TO 4 LANE FROM KM 51.60 TO 76.20 (HEBRI TO PARKALA) AND FROM KM 85.20 TO 88.90 (KARAVALI JU,MoRTH,N24001948,,,,10-2022,10/2024,Dec-2024,355.72,N.A.,11.32,60.00,2025-06,FR_JUNE_2025.pdf
662,FOUR LANING OF LEFT OVER WORKS OF HOSPET BELLARY KARNATAKA/ AP BORDER FROM KM.280.080 TO KM. 375.450,NHAI,N24001989,,,,3-2023,5/2025,N.A.,830.28,N.A.,692.62,77.10,2025-06,FR_JUNE_2025.pdf
663,DEVELOPMENT OF 6 LANE ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KM. 97.000 TO KM. 162.500 MARADGI S,NHAI,N24001993,,,,12-2022,10/2025,N.A.,1589.00,N.A.,732.47,63.15,2025-06,FR_JUNE_2025.pdf
664,4/6L OF BANGALORE - PUNE SECTION OF BYPASS CONNECTING DHARWAD - HUBLI FROM KM. 403.80 TO KM. 433.20,NHAI,N24001994,,,,5-2022,3/2023,Sep-2025,1135.39,N.A.,396.27,70.68,2025-06,FR_JUNE_2025.pdf
665,BALANCE WORK OF CONSTRUCTION OF TWO/FOUR LANE WITH PAVED SHOULDER FROM KM 422.000 TO 523.600 ( CHITR,MoRTH,N24002011,,,,12-2021,6/2024,Dec-2024,516.96,N.A.,19.93,75.00,2025-06,FR_JUNE_2025.pdf
