sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
593,,,,Kumbalam-Turavur doubling project [15.59 Km] (Southern Railway [SR] - II) (705638),Kerala,,2023-04,2027-03,2027-03,813,802.8,66.7,18,2025-10,FlashReport_October_2025.pdf
594,,,,Ernakulam-Kumbalam doubling project [7.71 Km] (SR-ERS) (705639),Kerala,,2023-04,2028-03,2027-02,601,595.39,289.52,19,2025-10,FlashReport_October_2025.pdf
595,,,,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho (North Central Railway) (705480)",Madhya Pradesh,,2007-01,2027-03,2027-12,8914,8914,5013.49,72,2025-10,FlashReport_October_2025.pdf
596,,,,Katni - Bina Third Railway Line [279 km] (West Central Railway WCR I) (705651),Madhya Pradesh,,2016-06,2022-03,2025-12,2478.23,4127.23,3330.66,92,2025-10,FlashReport_October_2025.pdf
597,,,,Satna-Rewa Railway Line Doubling Project (West Central Railway [WCR] - II) (705659),Madhya Pradesh,,2015-11,2026-03,2026-03,500,584,565.61,80,2025-10,FlashReport_October_2025.pdf
598,,,,Doubling of Katni - Singrauli Railway Line [261 km] (Indian Railway Construction International Limited [IRCON]) (705660),Madhya Pradesh,,2016-03,2025-12,2025-12,2445,4377,3234.88,100,2025-10,FlashReport_October_2025.pdf
599,,,,Katni Grade Separator/Bye Pass (Indian Railway Construction International Limited [IRCON]) (705661),Madhya Pradesh,,2016-03,2024-09,2026-03,1248,1248,1651.34,95,2025-10,FlashReport_October_2025.pdf
600,,,,Indore - Budni New Railway Line [198 kms] (RVNL - II) (705763),Madhya Pradesh,,2019-08,2030-09,2030-09,7474,7474,1780.6,25,2025-10,FlashReport_October_2025.pdf
601,,,,Nimach-Ratlam Doubling [133 Km] (Western Railway [WR] - II) (705933),Madhya Pradesh,,2021-10,2027-10,2027-10,1095.88,1095.88,1067.49,89,2025-10,FlashReport_October_2025.pdf
602,,,,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS] (Central Railway) (400019),Maharashtra,,2019-01,2026-12,2027-09,492.76,1170.83,276.86,16,2025-10,FlashReport_October_2025.pdf
603,,,,Wardha-Nanded Via Yavatmal New BG Line (Central Railway [CR] - II) (400271),Maharashtra,,2017-12,2028-03,2028-03,3445,3445,3002.93,50,2025-10,FlashReport_October_2025.pdf
604,,,,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km (South Central Railway [SCR] - II) (611751),Maharashtra,,2023-05,2027-03,,960.64,960.64,511.61,1,2025-10,FlashReport_October_2025.pdf
